54,Interlingue,インターリング,ie,1000
55,Inuktitut,イヌクティトット語,iu,1000
56,Inupiak,イヌピア語,ik,1000
57,Irish,アイルランド語,ga,1000
58,Italian,イタリア語,it,6
59,Japanese,日本語,ja,2
60,Javanese,ジャワ語,jv,1000
61,Kannada,カンナダ語,kn,1000
62,Kashmiri,カシミール語,ks,1000
63,Kazakh,カザフ語,kk,1000
64,Kinyarwanda,キニャーワンダ語,rw,1000
65,Kirghiz,キルギス語,ky,1000
66,Kirundi,キルンディ語,rn,1000
67,Korean,韓国語,ko,8
68,Kurdish,クルド語,ku,1000
69,Laotian,ラオス語,lo,1000
70,Latin,ラテン語,la,1000
71,Latvian,ラトビア語,lv,1000
72,Limburgish,リンブルガー語,li,1000
73,Lingala,リンガラ語,ln,1000
74,Lithuanian,リトアニア語,lt,1000
75,Macedonian,マケドニア語,mk,1000
76,Malagasy,マダガスカル語,mg,1000
77,Malay,マレー語,ms,1000
78,Malayalam,マラヤーラム語,ml,1000
79,Maltese,マルタ語,mt,1000
80,Maori,マオリ語,mi,1000
81,Marathi,マラーティー語,mr,1000
82,Moldavian,モルダビア語,mo,1000
83,Mongolian,モンゴル語,mn,1000
84,Nauru,ナウル語,na,1000
85,Nepali,ネパール語,ne,1000
86,Norwegian,ノルウェー語,no,1000
87,Occitan,オキタン語,oc,1000
88,Oriya,オーリア語,or,1000
89,Oromo,オロモ語,om,1000
90,Pashto,パシュト語,ps,1000
91,Polish,ポーランド語,pl,1000
92,Portuguese,ポルトガル語,pt,1000
93,Punjabi,パンジャブ語,pa,1000
94,Quechua,ケチュア語,qu,1000
95,Rhaeto-Romance,レト=ロマン語,rm,1000
96,Romanian,ルーマニア語,ro,1000
97,Russian,ロシア語,ru,1000
98,Samoan,サモア語,sm,1000
99,Sangro,サングロ語,sg,1000
100,Sanskrit,サンスクリット語,sa,1000
101,Serbia,セルビア語,sr,1000
102,Serbo-Croatian,セルボ=クロアチア語,sh,1000
103,Sesotho,セソト語,st,1000
104,Setswana,セツワナ語,tn,1000
105,Shona,ショナ語,sn,1000
106,Sindhi,シンディー語,sd,1000
107,Sinhalese,シンハラ語,si,1000
108,Siswati,シスワティ語,ss,1000
109,Slovak,スロバキア語,sk,1000
110,Slovenian,スロベニア語,sl,1000
111,Somali,ソマリ語,so,1000
112,Spanish,スペイン語,es,4
113,Sundanese,スンダン語,su,1000
114,Swahili,スワヒリ語,sw,1000
115,Swedish,スウェーデン語,sv,1000
116,Tagalog,タガログ語,tl,1000
117,Tajik,タジク語,tg,1000
118,Tamil,タミール語,ta,1000
119,Tatar,タタール語,tt,1000
120,Telugu,テルグ語,te,1000
121,Thai,タイ語,th,1000
122,Tibetan,チベット語,bo,1000
123,Tigrinya,チグリニャ語,ti,1000
124,Tonga,トンガ語,to,1000
125,Tsonga,ツォンガ語,ts,1000
126,Turkish,トルコ語,tr,1000
127,Turkmen,トルクメン語,tk,1000
128,Twi,トウィ語,tw,1000
129,Uighur,ウイグル語,ug,1000
130,Ukrainian,ウクライナ語,uk,1000
131,Urdu,ウルドゥー語,ur,1000
132,Uzbek,ウズベク語,uz,1000
133,Vietnamese,ベトナム語,vi,1000
134,Volapuk,ボラピュク語,vo,1000
135,Welsh,ウェールズ語,cy,1000
136,Wolof,ウォロフ語,wo,1000
137,Xhosa,コサ語,xh,1000
138,Yiddish,イディッシュ語,yi (ji),1000
139,Yoruba,ヨルバ語,yo,1000
140,Zulu,ズールー語,zu,1000
